Depth(ft),Depth(m),ROP(1 ft),ROP(1 m),weight on bit (k-lbs),weight on bit (kg),Temp Out( degF),Temp Out( degC),Temp In(degF),Temp In(degC),Pit Total (bbls),Pit Total (m3),Pump Press (psi),Pump Press (KPa),Hookload (k-lbs),Hookload (kg),Surface Torque (psi),Surface Torque (KPa),Rotary Speed (rpm),Flow In (gal/min),Flow In(liters/min),Flow Out %,WH Pressure (psi),WH Pressure (KPa),H2S Floor,H2S Cellar,H2S Pits
85.18,25.96,56.8,17.31,0,0,93.49,34.16,90.87,32.71,274.83,43.69,463.72,3197.35,31.77,14408.16,8.93,61.57,151.09,1109.58,4200.22,101.61,-1230.69,-8485.61,-0.01,-0.03,0.31
86.18,26.27,61.14,18.63,0,0,93.52,34.18,90.83,32.68,274.83,43.69,459.53,3168.46,31.01,14063.49,8.93,61.57,151.09,1108.36,4195.60,101.7,-1230.69,-8485.61,-0.01,-0.04,0.31
87.23,26.59,18.58,5.66,0,0,94.25,34.58,90.91,32.73,273.8,43.53,454.57,3134.26,31.01,14063.49,9.01,62.12,61.54,1102.87,4174.82,96.81,-1230.69,-8485.61,-0.01,-0.03,0.3
88.26,26.90,38.29,11.67,0,0,94.44,34.69,91.14,32.86,273.79,43.53,451.14,3110.61,31.16,14131.52,8.97,61.85,60.23,1101.04,4167.89,96.67,-1230.69,-8485.61,0,-0.03,0.31
89.36,27.24,394.38,120.20,0,0,94.48,34.71,91.18,32.88,273.8,43.53,456.09,3144.74,31.54,14303.85,8.97,61.85,61.75,1102.46,4173.26,96.63,-1230.69,-8485.61,-0.02,-0.02,0.31
90.39,27.55,413.16,125.93,0,0,94.52,34.73,91.18,32.88,273.79,43.53,452.28,3118.47,30.24,13714.29,8.97,61.85,61.99,1101.85,4170.95,96.58,-1230.69,-8485.61,-0.01,-0.02,0.31
91.39,27.85,450.72,137.37,0.76,344.67,94.52,34.73,91.21,32.89,273.8,43.53,454.19,3131.64,29.33,13301.59,8.97,61.85,62.07,1102.06,4171.75,96.72,-1230.69,-8485.61,-0.01,-0.02,0.31
92.39,28.16,600.96,183.16,0,0.00,94.52,34.73,91.21,32.89,273.79,43.53,452.66,3121.09,31.01,14063.49,9.01,62.12,61.95,1102.26,4172.51,96.81,-1230.69,-8485.61,-0.02,-0.03,0.31
93.49,28.49,399.5,121.76,0,0.00,94.55,34.75,91.25,32.92,273.8,43.53,448.85,3094.82,30.93,14027.21,8.97,61.85,61.42,1099.21,4160.96,96.44,-1230.69,-8485.61,-0.01,-0.03,0.3
94.59,28.83,563.4,171.72,0,0.00,94.55,34.75,91.29,32.94,273.79,43.53,452.66,3121.09,30.78,13959.18,9.01,62.12,59.57,1102.87,4174.82,95.93,-1230.69,-8485.61,-0.02,-0.03,0.3
95.65,29.15,638.52,194.61,0,0.00,94.55,34.75,91.29,32.94,273.79,43.53,452.28,3118.47,31.08,14095.24,9.01,62.12,59.33,1103.48,4177.12,95.74,-1230.69,-8485.61,-0.01,-0.03,0.3
96.68,29.47,743.69,226.67,0,0.00,94.55,34.75,91.29,32.94,273.79,43.53,448.47,3092.20,31.46,14267.57,8.97,61.85,58.67,1100.43,4165.58,95.53,-1230.69,-8485.61,-0.01,-0.02,0.31
97.75,29.79,348.28,106.15,2.13,965.99,94.55,34.75,91.37,32.98,273.79,43.53,452.28,3118.47,27.96,12680.27,8.97,61.85,56.05,1103.28,4176.37,96.07,-1230.69,-8485.61,-0.01,-0.03,0.31
99.5,30.33,100,30.48,0,0.00,90.89,32.72,93.24,34.02,279.64,44.46,19.94,137.49,40.61,18417.23,8.74,60.26,0,0,0.00,25.11,-1231.45,-8490.85,0,0,0.32
101.35,30.89,147.35,44.91,0,0.00,90.89,32.72,93.27,34.04,278.58,44.29,139.28,960.34,37.95,17210.88,8.74,60.26,0,469.14,1775.89,38.44,-1231.45,-8490.85,0,-0.01,0.31
