ROP(1 m),Depth(m),weight on bit (kg),Rotary Speed (rpm),Pump Press (KPa),Temp In(degC),Flow In(liters/min),Flow Out %
17.31,25.96,0.0,151.09,3197.35,32.71,4200.22,101.61
18.63,26.27,0.0,151.09,3168.46,32.68,4195.6,101.7
5.66,26.59,0.0,61.54,3134.26,32.73,4174.82,96.81
11.67,26.9,0.0,60.23,3110.61,32.86,4167.89,96.67
120.2,27.24,0.0,61.75,3144.74,32.88,4173.26,96.63
125.93,27.55,0.0,61.99,3118.47,32.88,4170.95,96.58
137.37,27.85,344.67,62.07,3131.64,32.89,4171.75,96.72
183.16,28.16,0.0,61.95,3121.09,32.89,4172.51,96.81
121.76,28.49,0.0,61.42,3094.82,32.92,4160.96,96.44
171.72,28.83,0.0,59.57,3121.09,32.94,4174.82,95.93
194.61,29.15,0.0,59.33,3118.47,32.94,4177.12,95.74
226.67,29.47,0.0,58.67,3092.2,32.94,4165.58,95.53
106.15,29.79,965.99,56.05,3118.47,32.98,4176.37,96.07
30.48,30.33,0.0,0.0,137.49,34.02,0.0,25.11
44.91,30.89,0.0,0.0,960.34,34.04,1775.89,38.44
16.72,31.24,0.0,53.92,2645.34,33.98,4042.93,81.34
54.95,31.55,0.0,0.0,2655.82,33.98,4042.89,83.65
32.44,31.87,0.0,0.0,2653.2,33.98,4034.41,83.32
44.91,32.21,0.0,61.38,2663.75,33.91,4022.87,80.92
150.25,32.54,0.0,61.42,2653.2,33.93,4038.28,82.6
211.78,32.89,0.0,69.53,2671.61,33.91,4039.83,82.83
186.44,33.26,0.0,75.19,2668.99,33.93,4027.49,80.15
254.14,33.61,0.0,82.32,2650.58,33.93,4036.72,80.15
233.53,33.93,0.0,85.11,2647.96,33.93,4030.59,79.8
211.78,34.25,0.0,88.43,2687.4,33.93,4039.83,78.12
156.99,34.55,0.0,82.28,2676.85,33.93,4041.34,78.64
112.4,34.9,1278.91,97.45,2663.75,33.93,4036.72,79.22
75.56,35.21,0.0,99.25,2671.61,33.93,4048.27,80.17
150.25,35.53,0.0,92.49,2658.44,33.93,4049.06,80.17
106.15,35.85,276.64,89.82,2695.26,33.96,4065.23,79.64
89.82,36.17,0.0,83.27,2671.61,33.93,4065.23,81.27
137.37,36.48,0.0,83.1,2690.02,33.96,4068.29,81.13
188.89,36.79,0.0,79.54,2653.2,33.96,4061.37,83.37
7.85,37.1,0.0,34.03,2461.31,34.06,3838.25,99.84
52.33,37.41,0.0,45.18,2353.54,34.08,3735.22,98.33
57.24,37.74,0.0,122.0,2101.18,34.11,3530.35,93.39
113.33,38.06,0.0,132.42,2066.98,34.08,3510.29,92.08
61.05,38.36,0.0,106.34,2053.88,34.11,3500.26,93.48
38.92,38.67,0.0,47.27,2043.33,34.21,3501.05,88.59
60.1,39.01,0.0,46.17,2059.12,34.23,3475.65,85.28
44.91,39.33,0.0,33.17,2214.19,34.23,3701.79,87.54
64.87,39.66,0.0,58.92,2219.43,34.25,3699.41,84.28
206.06,40.25,0.0,116.76,2892.38,33.98,4043.08,89.73
228.95,40.63,0.0,121.59,2910.79,33.98,4046.91,90.17
41.98,40.94,0.0,127.66,2897.69,33.98,4060.0,90.47
106.15,41.25,0.0,124.26,2918.72,33.98,4055.39,90.89
150.25,41.55,0.0,122.66,2942.37,34.0,4073.86,89.15
137.37,41.86,0.0,124.22,2918.72,33.98,4063.11,89.47
171.71,42.19,0.0,129.09,2918.72,33.98,4062.35,89.85
206.06,42.54,0.0,129.71,2942.37,33.98,4087.71,88.84
219.8,42.84,0.0,125.57,2939.75,33.98,4083.09,89.15
206.06,43.19,0.0,122.21,2942.37,33.98,4086.2,88.47
254.15,43.54,0.0,124.63,2939.75,33.98,4102.36,89.33
156.45,43.93,0.0,130.69,2968.64,33.98,4106.98,90.08
217.51,44.29,0.0,129.83,2947.61,33.96,4108.53,89.87
188.89,44.61,0.0,124.75,2971.26,33.96,4114.66,91.83
145.96,44.93,0.0,120.49,2958.16,33.96,4115.46,91.38
223.23,45.3,0.0,116.88,2960.78,33.96,4114.7,90.73
154.54,45.65,0.0,110.61,2992.29,33.96,4121.63,91.43
217.51,46.01,0.0,110.28,2952.85,33.96,4116.97,91.45
